ENSG_ID	c_12h_rep2	c_12h_rep1	c_24h_rep2	c_24h_rep1	t_12h_rep1	t_12h_rep2	t_24h_rep1	t_24h_rep2
ENSG00000152284	4.773232836	4.758382615	4.824106408	4.740944016	4.254278173	4.44831909	4.231646571	4.288524787
ENSG00000152291	8.1159027	8.070731377	8.09917729	8.068033629	8.002536931	8.026467925	8.002276958	7.987481139
ENSG00000152292	3.713699541	3.775395232	3.701454143	3.859154984	3.695388085	3.853439693	4.077246387	4.151189777
ENSG00000152315	3.697499931	3.552934986	3.583739517	3.636042273	3.760895165	3.6827725	3.834568338	3.883984393
ENSG00000152332	8.450180717	8.280364565	8.362389547	8.178808527	8.143609906	8.240394251	8.339640237	8.468686921
ENSG00000152348	5.513650972	5.541935368	5.564430538	5.599109077	5.497798566	5.467292986	5.448957755	5.555232212
ENSG00000152359	6.740353833	6.740649333	6.962012398	6.987719035	6.812117816	6.955926793	7.225563579	7.278803543
ENSG00000152377	2.99494212	3.472555974	2.97677413	3.034065631	3.01096766	3.289769542	3.188423843	3.126512532
ENSG00000152382	8.564028095	8.574036435	8.846784017	8.920259586	8.734624386	8.761419721	8.878822809	8.906119521
ENSG00000152402	4.092719746	3.952645236	4.047942238	4.064221305	4.018658571	4.006144588	3.837537578	3.974115877
ENSG00000152404	5.055913895	5.177561035	5.438333341	5.384769905	5.279104633	5.21818394	5.275453216	5.598554317
ENSG00000152409	6.954116749	6.888139588	7.013972973	6.956548073	7.12633573	7.174000641	7.238908844	7.25344345
ENSG00000152413	9.028941922	9.013262841	9.100588098	9.105261314	9.114319145	9.16614536	9.161682276	9.183624908
ENSG00000152422	5.236302764	5.179593534	5.503944771	5.527463509	5.373967125	5.40121618	5.875611577	5.937909493
ENSG00000152430	3.775221102	3.815004355	3.76221774	3.766201333	3.847868681	3.449762757	3.436967069	3.398146299
ENSG00000152443	7.477940182	7.47291867	7.448704739	7.747177282	7.402699918	7.329152644	7.494281493	7.505241806
ENSG00000152454	5.444809271	5.46358635	5.342033499	5.551082921	5.363702919	5.651052898	5.44822957	6.076958944
ENSG00000152455	5.94062547	5.720264687	6.014139994	6.013115663	6.071876466	6.035843048	6.339523307	6.406650858
ENSG00000152457	5.082311904	5.224451362	5.34346494	5.388521696	5.305425979	5.325069559	5.444809271	5.519191164
ENSG00000152463	2.923276978	3.00816783	2.717105672	2.863386097	2.956079508	2.86249043	2.779169263	3.007256058
ENSG00000152464	8.230325256	8.149298435	8.215674048	8.296285649	8.313574287	8.200994168	8.355781971	8.492768895
ENSG00000152465	5.615536942	5.617865564	5.949745033	6.046543545	6.023013153	6.013918456	5.952304539	6.16355812
ENSG00000152467	3.627401408	3.562639264	3.878130457	3.342973054	3.4949786	3.468043238	3.199997315	3.548930505
ENSG00000152475	5.767615459	5.746987648	5.774865691	5.52534594	5.69100686	5.798645645	5.161076912	5.56848136
ENSG00000152484	6.901570652	6.856674523	6.933053858	6.888808583	6.960684979	6.917110311	7.130371925	6.748907145
ENSG00000152492	3.79868539	3.914056058	3.931114053	3.863528013	3.708700539	3.732653667	3.841028939	3.764206761
ENSG00000152495	2.816075874	2.710694668	2.803352972	2.765652492	2.661633065	2.839352112	2.85912791	2.759322929
ENSG00000152503	4.360636621	4.437523845	4.454110446	4.500098533	4.534966925	4.491274213	4.536429805	4.523831052
ENSG00000152520	8.351921941	8.301383864	8.537694651	8.661735306	8.338822961	8.315316773	8.561512981	8.58886332
ENSG00000152527	2.807919855	3.030174234	2.819967487	2.838300275	2.796990418	2.757162839	2.815700499	2.780988463
ENSG00000152556	8.87135651	8.895628822	8.965930939	9.02098292	9.110242425	9.111593757	8.956419454	9.004601332
ENSG00000152558	9.708097958	9.449682418	9.700527108	9.808571387	9.674538839	9.720404283	9.715010766	9.224436197
ENSG00000152578	2.349306777	2.372527398	2.474344597	2.38494262	2.440867828	2.309716772	2.304533148	2.437163934
ENSG00000152580	4.931901174	4.978146815	5.231200133	5.020731319	5.098223032	5.16556105	5.208368763	5.271219605
ENSG00000152582	4.090641608	4.158627545	4.089635216	4.145495383	4.039209375	4.176237391	4.123438264	4.157757812
ENSG00000152583	3.282954373	3.287129524	3.356206541	3.295443256	3.322310846	3.309983967	3.309983967	3.226938285
ENSG00000152591	2.881755194	3.300212264	2.707074151	2.977767945	2.75264147	2.82622261	3.20209333	2.997619918
ENSG00000152592	2.814057038	2.735205344	2.652744938	2.695271153	2.667054998	2.732866938	3.005107937	2.882885118
ENSG00000152595	4.159403955	4.333945239	4.175095358	4.354381327	4.169003818	4.157605494	4.150979219	4.180561415
ENSG00000152601	6.552167293	6.493901819	6.731302736	6.745946988	6.640139033	6.67443411	6.892486458	6.925602338
ENSG00000152611	2.89668956	2.819725669	2.791658649	2.875372239	3.068045298	3.033764932	2.755431758	2.706752062
ENSG00000152620	6.757891057	6.562710399	6.798881761	6.930193207	6.919562959	6.926886081	6.803938551	6.867985024
ENSG00000152642	10.10553758	10.09078381	9.877771315	9.959638772	9.864943966	9.818667409	9.626212779	9.698422942
ENSG00000152661	2.674108088	2.781575662	2.662248033	2.387115126	2.698469787	2.746529573	2.750176594	2.953621484
ENSG00000152669	6.352800955	6.381789431	6.401725253	6.391697466	6.349670248	6.195221965	6.198870041	6.175988347
ENSG00000152670	2.822618174	2.753763375	2.753215074	2.778029985	2.968723186	2.863435173	2.812569644	2.879970161
ENSG00000152672	4.725544543	4.949249904	4.777151098	4.770758185	4.935527986	4.773954641	4.620272856	4.576526077
ENSG00000152683	7.841520183	7.85686765	7.814007893	7.891350911	7.985500143	7.949058488	7.985309712	7.832259165
ENSG00000152689	3.142894969	3.305462793	3.275518377	3.037699682	3.224288237	2.999896755	3.080554594	2.939571982
ENSG00000152700	7.966549486	7.946361216	8.043062652	8.007187962	7.94630133	7.89095997	7.926869928	8.031516057
ENSG00000152705	2.953379818	2.998585069	3.278063423	3.137214355	3.173630518	3.398146299	3.243655041	3.199652947
ENSG00000152749	3.780530691	3.856450191	3.872080279	3.866556224	4.176209198	4.092728623	4.057256196	4.100439185
ENSG00000152760	2.615081799	2.866321844	2.57049804	2.693312643	2.614347758	2.697891383	2.628048794	2.690678212
ENSG00000152763	2.697791357	2.914742617	2.70547812	2.749327838	2.859421068	2.795607224	2.802083691	2.814052289
ENSG00000152766	5.147542387	5.064563338	5.162282061	5.096570653	5.189305693	5.271108616	4.983544322	4.938867816
ENSG00000152767	5.021737682	5.088432425	5.06621834	5.106426876	5.214258959	5.239242503	5.201539646	5.267547614
ENSG00000152778	7.569859893	7.680382642	7.861578077	7.790532296	7.603346402	7.451498781	7.667281086	7.778960644
ENSG00000152782	7.704271899	7.370976501	7.585343568	7.710262752	7.567410353	7.662765692	7.589770596	7.405576176
ENSG00000152784	4.407898945	4.261179633	4.227352304	4.338322876	4.394752309	4.307869554	4.237099054	4.225848534
ENSG00000152785	4.241937412	4.151265584	4.135200379	3.983313443	4.307989147	3.824085742	4.225874182	4.356416148
ENSG00000152795	8.119759653	8.208985056	8.567934367	8.702357081	8.313737636	8.280064499	8.645685562	8.633632273
ENSG00000152804	4.803817715	4.568401957	4.491095789	4.72493238	4.468203957	4.314882655	4.173743643	4.396352491
ENSG00000152818	5.958520389	5.819879814	6.125362634	6.049050982	5.522324279	5.536584218	5.541683318	5.619726772
ENSG00000152822	3.269607674	3.391208017	3.326410086	3.247784075	3.279865321	3.311055423	3.26804421	3.341625026
